,name,business_status,geometry/location/lat,geometry/location/lng,vicinity,place_id
90,Freiwillige Feuerwehr Britten,OPERATIONAL,49.5199923,6.6707271,"Kiefernweg 10, Losheim am See",ChIJoaFI3L90lUcRWFuaxRkI80g
91,Feuerwehr Scheiden,OPERATIONAL,49.5471625,6.7294604,"Schau ins Land 1, Losheim am See",ChIJPZzhCSF1lUcRZJWxmbP7CF8
92,Freiwillige Feuerwehr Rappweiler,OPERATIONAL,49.5422702,6.7930727,"Hochwaldstraße 23, Weiskirchen",ChIJKbB4wU-elUcRprctzCLq6BA
93,Waldhölzbach,OPERATIONAL,49.5518272,6.7612565,"Kurstraße 1, Losheim am See",ChIJMx4V7CCelUcRNq4dKDJRiWc
94,Feuerwache,OPERATIONAL,49.3703777,6.763063,"Wiesenstraße, Dillingen/Saar",ChIJy9Xq7qqnlUcRIruYeAzoM5I
95,Feuerwehr Wallerfangen Löschzug St.Barbara,OPERATIONAL,49.3321359,6.6820447,"Schloßbergstraße 97, Wallerfangen",ChIJRbPapRIHlUcR4IRuHB52WwY
96,Freiwillige Feuerwehr Fitten,OPERATIONAL,49.4437367,6.598188299999999,"Wendelinusstraße 39, Merzig",ChIJdbWcOkgMlUcRMXXowC6CcO0
97,Fire Station 2 Ramstein AB,OPERATIONAL,49.4518783,7.586639600000001,"Flugplatz Ramstein Geb 1124, Ramstein-Miesenbach",ChIJFbdUsVgLlkcRMJPpa_rGeb4
98,Feuerwehr Merzig,OPERATIONAL,49.4413502,6.6387098,"Am Gaswerk 5a, Merzig",ChIJC2GmVo4LlUcRAXCFIB40R1c
99,Freiwillige Feuerwehr Brotdorf,OPERATIONAL,49.47108679999999,6.6765078,"Heisterweg, Merzig",ChIJ0_b3hRALlUcRifNzFr8OQEg
100,Feuerwehr Schwemlingen-Weiler,OPERATIONAL,49.4682431,6.5910055,"Luxemburger Str. 76, Merzig",ChIJvRjF2P0MlUcRanGlX364gYM
101,Freiwillige Feuerwehr Lbz. Büdingen,OPERATIONAL,49.444563,6.5520541,"Zum Saargau 998, Merzig",ChIJgR8GW90NlUcRIxga1gGy6GE
102,Freiwillige Feuerwehr Menningen,OPERATIONAL,49.40648100000001,6.665430499999999,Merzig,ChIJQf8tkXAJlUcRiK14DXFazVw
103,Freiwillige Feuerwehr Silwingen,OPERATIONAL,49.423543,6.5689518,"Mondorfer Str., Merzig",ChIJ-eoLVn8OlUcRBJTJLKoZhXk
104,Freiwillige Feuerwehr Besseringen,OPERATIONAL,49.4756199,6.6076112,"Pastor-Krayer-Straße 998, Merzig",ChIJGcPXyO0MlUcRBjBv7h-ANvQ
105,Feuerwehr Dillingen/Saar | Löschbezirk Innenstadt,OPERATIONAL,49.35460579999999,6.7234234,"Merziger Str. 60, Dillingen/Saar",ChIJneWaa42nlUcR2D-SBFGNF-U
106,Freiwillige Feuerwehr Wallerfangen Lbz. Mitte,OPERATIONAL,49.31658849999999,6.650662199999999,"Jakobusstraße 53, Wallerfangen",ChIJ23bkdzUGlUcR_9QL4hbh1gY
